file,region1p1,region1p2,count,r1rank1,r1rank2,SUM
ss__0208_0685436803_495rrs__0071836srlc16000w1__cgnj03.csv,0,0,1,0,0,0
ss__0257_0689783904_065rrs__0080000srlc11360w108cgnj03.csv,0,0,50,0,0,0
ss__0257_0689784553_585rrs__0080000srlc11360w208cgnj03.csv,1,0,50,0.02,0,0.02
ss__0257_0689785335_515rrs__0080000srlc11421w108cgnj06.csv,28,5,1296,0.021604938,0.003858025,0.025462963
ss__0257_0689786201_620rrs__0080000srlc11421b108zpzj03.csv,0,0,2,0,0,0
ss__0257_0689787325_445rrs__0080000srlc16000w1__cgnj03.csv,0,0,1,0,0,0
ss__0269_0690848406_825rrs__0080000srlc11421w108cgnj06.csv,39,13,1296,0.030092593,0.010030864,0.040123457
ss__0269_0690849294_120rrs__0080000srlc11421b108zpzj04.csv,0,0,2,0,0,0
ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04.csv,1,0,50,0.02,0,0.02
ss__0269_0690850340_585rrs__0080000srlc11370w208cgnj04.csv,1,0,50,0.02,0,0.02
ss__0269_0690851164_255rrs__0080000srlc11373w108cgnj04.csv,0,0,50,0,0,0
ss__0269_0690851813_405rrs__0080000srlc11373w208cgnj04.csv,0,0,50,0,0,0
ss__0269_0690852635_600rrs__0080000srlc11374w108cgnj04.csv,0,0,50,0,0,0
ss__0269_0690853284_920rrs__0080000srlc11374w208cgnj03.csv,2,0,50,0.04,0,0.04
ss__0269_0690854162_440rrs__0080000srlc16000w1__cgnj04.csv,1,1,1,1,1,2
ss__0293_0692979640_115rrs__0090000srlc11360w108cgzj03.csv,1,0,50,0.02,0,0.02
ss__0293_0692980289_265rrs__0090000srlc11360w208cgnj03.csv,0,0,50,0,0,0
ss__0293_0692981070_175rrs__0090000srlc11420w108cgnj06.csv,40,14,1296,0.030864198,0.010802469,0.041666667
ss__0293_0692982000_605rrs__0090000srlc11420b108zpzj03.csv,0,0,2,0,0,0
ss__0293_0692982862_445rrs__0090000srlc16000w1__cgnj03.csv,0,0,1,0,0,0
ss__0304_0693959951_875rrs__0090000srlc11451w108cgnj05.csv,31,10,1296,0.023919753,0.007716049,0.031635802
ss__0304_0693960817_055rrs__0090000srlc11451b108zpzj02.csv,0,0,2,0,0,0
ss__0304_0693961008_675rrs__0090000srlc11372w108cgnj02.csv,0,0,50,0,0,0
ss__0304_0693961658_010rrs__0090000srlc11372w208cgnj02.csv,0,0,50,0,0,0
ss__0304_0693962475_780rrs__0090000srlc11373w108cgnj02.csv,1,0,50,0.02,0,0.02
ss__0304_0693963125_235rrs__0090000srlc11373w208cgnj02.csv,0,0,50,0,0,0
ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.csv,3,0,50,0.06,0,0.06
ss__0304_0693964592_870rrs__0090000srlc11374w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0304_0693965408_820rrs__0090000srlc11375w108cgnj02.csv,2,0,50,0.04,0,0.04
ss__0304_0693966058_170rrs__0090000srlc11375w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0304_0693967545_515rrs__0090000srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0347_0697773331_495rrs__0092982srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0349_0697951251_495rrs__0092982srlc11360w108cgnj02.csv,0,0,50,0,0,0
ss__0349_0697951900_355rrs__0092982srlc11360w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0349_0697952686_570rrs__0092982srlc11420w108cgnj07.csv,36,2,1296,0.027777778,0.00154321,0.029320988
ss__0349_0697953530_075rrs__0092982srlc11420b108zpzj02.csv,0,0,2,0,0,0
ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0368_0699639699_675rrs__0110108srlc15032w2__cgnj02.csv,6,0,50,0.12,0,0.12
ss__0368_0699640348_435rrs__0110108srlc15032w2__cgnj02.csv,4,0,50,0.08,0,0.08
ss__0368_0699641247_560rrs__0110108srlc15051w108cgnj02.csv,3,0,100,0.03,0,0.03
ss__0368_0699641309_715rrs__0110108srlc15051b108zpzj02.csv,0,0,1,0,0,0
ss__0368_0699641563_465rrs__0110108srlc15043w108cgnj08.csv,60,7,1296,0.046296296,0.005401235,0.051697531
ss__0368_0699642266_700rrs__0110108srlc15043b108zpzj02.csv,0,0,2,0,0,0
ss__0368_0699642505_510rrs__0110108srlc15044w108cgnj07.csv,220,31,1296,0.169753086,0.023919753,0.19367284
ss__0368_0699643208_905rrs__0110108srlc15044b108zpzj02.csv,2,0,2,1,0,1
ss__0368_0699643495_805rrs__0110108srlc15021w108cgnj07.csv,0,0,1296,0,0,0
ss__0368_0699644358_480rrs__0110108srlc15021b108zpzj02.csv,0,0,2,0,0,0
ss__0368_0699645157_680rrs__0110108srlc15011w108cgnj02.csv,0,0,100,0,0,0
ss__0368_0699645219_500rrs__0110108srlc15011b108zpzj02.csv,0,0,1,0,0,0
ss__0368_0699645486_870rrs__0110108srlc15000wq08cgnj02.csv,42,42,100,0.42,0.42,0.84
ss__0368_0699645649_325rrs__0110108srlc15000bq08zpzj02.csv,1,1,1,1,1,2
ss__0368_0699645918_610rrs__0110108srlc15090wz08cgnj02.csv,44,44,100,0.44,0.44,0.88
ss__0368_0699646080_645rrs__0110108srlc15090bz08zpzj02.csv,1,1,1,1,1,2
ss__0368_0699646346_540rrs__0110108srlc15080wy08cgnj02.csv,53,52,100,0.53,0.52,1.05
ss__0368_0699646508_780rrs__0110108srlc15080by08zpzj02.csv,1,1,1,1,1,2
ss__0368_0699646771_515rrs__0110108srlc15071w108cgnj02.csv,100,63,100,1,0.63,1.63
ss__0368_0699647058_310rrs__0110108srlc15071b108zpzj02.csv,1,1,1,1,1,2
ss__0368_0699647329_540rrs__0110108srlc15061w108cgnj02.csv,100,35,100,1,0.35,1.35
ss__0368_0699647616_345rrs__0110108srlc15061b108zpzj02.csv,1,1,1,1,1,2
ss__0368_0699647868_765rrs__0110108srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0370_0699813450_405rrs__0110108srlc11360w108cgnj02.csv,0,0,50,0,0,0
ss__0370_0699814099_215rrs__0110108srlc11360w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0370_0699814879_265rrs__0110108srlc11420w108cgnj07.csv,27,5,1296,0.020833333,0.003858025,0.024691358
ss__0370_0699815741_520rrs__0110108srlc11420b108zpzj02.csv,0,0,2,0,0,0
ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0413_0703632359_360rrs__0220788srlc16003w104cgnj02.csv,1,0,50,0.02,0,0.02
ss__0413_0703633008_105rrs__0220788srlc16003w204cgnj02.csv,1,0,50,0.02,0,0.02
ss__0413_0703633657_015rrs__0220788srlc16003w304cgnj02.csv,5,2,100,0.05,0.02,0.07
ss__0413_0703634318_435rrs__0220788srlc16003w404cgnj02.csv,2,1,100,0.02,0.01,0.03
ss__0413_0703634772_405rrs__0220788srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0463_0708073021_435rrs__0260630srlc11360w108cgnj02.csv,0,0,50,0,0,0
ss__0463_0708073670_520rrs__0260630srlc11360w208cgnj02.csv,0,0,50,0,0,0
ss__0463_0708074454_515rrs__0260630srlc11420w108cgnj03.csv,56,8,1296,0.043209877,0.00617284,0.049382716
ss__0463_0708075294_980rrs__0260630srlc11420b108zpzj02.csv,0,0,2,0,0,0
ss__0463_0708075543_455rrs__0260630srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0480_0709581175_715rrs__0261004srlc11360w108cgnj02.csv,0,0,50,0,0,0
ss__0480_0709581824_750rrs__0261004srlc11360w208cgnj02.csv,0,0,50,0,0,0
ss__0480_0709582614_700rrs__0261004srlc11420w108cgnj03.csv,56,11,1296,0.043209877,0.008487654,0.051697531
ss__0480_0709583454_200rrs__0261004srlc11420b108zpzj02.csv,0,0,2,0,0,0
ss__0480_0709583703_400rrs__0261004srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0489_0710377627_500rrs__0261004srlc11360w108cgnj02.csv,0,0,50,0,0,0
ss__0489_0710378276_295rrs__0261004srlc11360w208cgnj02.csv,0,0,50,0,0,0
ss__0489_0710379058_350rrs__0261004srlc11370w108cgnj02.csv,0,0,50,0,0,0
ss__0489_0710379707_400rrs__0261004srlc11370w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0489_0710380488_510rrs__0261004srlc11420w108cgnj03.csv,48,8,1296,0.037037037,0.00617284,0.043209877
ss__0489_0710381312_680rrs__0261004srlc11420b108zpzj02.csv,1,0,2,0.5,0,0.5
ss__0489_0710382169_545rrs__0261004srlc11360w108cgnj02.csv,1,1,50,0.02,0.02,0.04
ss__0489_0710382818_445rrs__0261004srlc11360w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0489_0710383600_515rrs__0261004srlc11370w108cgnj02.csv,1,0,50,0.02,0,0.02
ss__0489_0710384249_650rrs__0261004srlc11370w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0489_0710385032_565rrs__0261004srlc11420w108cgnj03.csv,32,9,1296,0.024691358,0.006944444,0.031635802
ss__0489_0710385860_650rrs__0261004srlc11420b108zpzj02.csv,0,0,2,0,0,0
ss__0489_0710386699_695rrs__0261004srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0505_0711795172_280rrs__0261222srlc11360w108cgnj02.csv,0,0,50,0,0,0
ss__0505_0711795820_880rrs__0261222srlc11360w208cgnj02.csv,2,0,50,0.04,0,0.04
ss__0505_0711796602_020rrs__0261222srlc11370w108cgnj02.csv,0,0,50,0,0,0
ss__0505_0711797251_025rrs__0261222srlc11370w208cgnj02.csv,0,0,50,0,0,0
ss__0513_0712513080_580rrs__0261222srlc11440w108cgnj02.csv,52,15,1296,0.040123457,0.011574074,0.051697531
ss__0513_0712513920_255rrs__0261222srlc11440b108zpzj02.csv,0,0,2,0,0,0
ss__0513_0712514114_395rrs__0261222srlc11372w108cgnj02.csv,0,0,50,0,0,0
ss__0513_0712514763_385rrs__0261222srlc11372w208cgnj02.csv,0,0,50,0,0,0
ss__0513_0712515579_390rrs__0261222srlc11373w108cgnj02.csv,0,0,50,0,0,0
ss__0513_0712516228_405rrs__0261222srlc11373w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0513_0712517045_550rrs__0261222srlc11374w108cgnj02.csv,0,0,50,0,0,0
ss__0513_0712517694_430rrs__0261222srlc11374w208cgnj02.csv,0,0,50,0,0,0
ss__0513_0712518509_495rrs__0261222srlc11375w108cgnj02.csv,1,0,50,0.02,0,0.02
ss__0513_0712519158_660rrs__0261222srlc11375w208cgnj02.csv,2,1,50,0.04,0.02,0.06
ss__0513_0712520769_495rrs__0261222srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0545_0715349061_920rrs__0265150srlc15032w108cgnj01.csv,3,0,50,0.06,0,0.06
ss__0545_0715349710_745rrs__0265150srlc15032w208cgnj01.csv,1,0,50,0.02,0,0.02
ss__0545_0715350606_820rrs__0265150srlc15051w108cgnj02.csv,4,0,100,0.04,0,0.04
ss__0545_0715350669_750rrs__0265150srlc15051b108zpzj02.csv,0,0,1,0,0,0
ss__0545_0715350925_820rrs__0265150srlc15043w108cgnj02.csv,61,13,1296,0.047067901,0.010030864,0.057098765
ss__0545_0715351618_760rrs__0265150srlc15043b108zpzj02.csv,1,0,2,0.5,0,0.5
ss__0545_0715351894_725rrs__0265150srlc15021w108cgnj02.csv,0,0,1296,0,0,0
ss__0545_0715352750_720rrs__0265150srlc15021b108zpzj02.csv,0,0,2,0,0,0
ss__0545_0715353030_980rrs__0265150srlc15011w108cgnj02.csv,0,0,100,0,0,0
ss__0545_0715353092_400rrs__0265150srlc15011b108zpzj02.csv,0,0,1,0,0,0
ss__0545_0715353359_835rrs__0265150srlc15000wq08cgnj02.csv,36,36,100,0.36,0.36,0.72
ss__0545_0715353521_590rrs__0265150srlc15000bq08zpzj02.csv,1,1,1,1,1,2
ss__0545_0715353795_060rrs__0265150srlc15090wz08cgnj02.csv,26,26,100,0.26,0.26,0.52
ss__0545_0715353956_645rrs__0265150srlc15090bz08zpzj02.csv,1,1,1,1,1,2
ss__0545_0715354226_760rrs__0265150srlc15080wy08cgnj02.csv,63,63,100,0.63,0.63,1.26
ss__0545_0715354388_430rrs__0265150srlc15080by08zpzj02.csv,1,1,1,1,1,2
ss__0545_0715354654_795rrs__0265150srlc15071w108cgnj02.csv,100,50,100,1,0.5,1.5
ss__0545_0715354941_375rrs__0265150srlc15071b108zpzj02.csv,1,1,1,1,1,2
ss__0545_0715355211_755rrs__0265150srlc15061w108cgnj02.csv,100,16,100,1,0.16,1.16
ss__0545_0715355499_565rrs__0265150srlc15061b108zpzj02.csv,1,1,1,1,1,2
ss__0545_0715355750_510rrs__0265150srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0558_0716501250_680rrs__0280000srlc11440w108cgnj02.csv,42,14,1296,0.032407407,0.010802469,0.043209877
ss__0558_0716502088_690rrs__0280000srlc11440b108zpzj02.csv,0,0,2,0,0,0
ss__0558_0716502253_865rrs__0280000srlc11370w108cgnj02.csv,0,0,50,0,0,0
ss__0558_0716502902_700rrs__0280000srlc11370w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0558_0716503782_395rrs__0280000srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0567_0717299039_935rrs__0290000srlc11440w108cgnj02.csv,37,6,1296,0.028549383,0.00462963,0.033179012
ss__0567_0717299881_350rrs__0290000srlc11440b108zpzj02.csv,0,0,2,0,0,0
ss__0567_0717300045_395rrs__0290000srlc11360w108cgnj02.csv,0,0,50,0,0,0
ss__0567_0717300694_310rrs__0290000srlc11360w208cgnj02.csv,0,0,50,0,0,0
ss__0567_0717301572_455rrs__0290000srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0570_0717567666_795rrs__0290000srlc11440w108cgnj02.csv,42,12,1296,0.032407407,0.009259259,0.041666667
ss__0570_0717568501_450rrs__0290000srlc11440b108zpzj02.csv,0,0,2,0,0,0
ss__0570_0717568663_735rrs__0290000srlc11360w108cgnj02.csv,0,0,50,0,0,0
ss__0570_0717569312_770rrs__0290000srlc11360w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0570_0717570798_490rrs__0290000srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0573_0717835925_705rrs__0290000srlc11440w108cgnj03.csv,47,10,1296,0.036265432,0.007716049,0.043981481
ss__0573_0717836770_105rrs__0290000srlc11440b108zpzj02.csv,0,0,2,0,0,0
ss__0573_0717836930_885rrs__0290000srlc11370w108cgnj02.csv,0,0,50,0,0,0
ss__0573_0717837579_855rrs__0290000srlc11370w208cgnj02.csv,0,0,50,0,0,0
ss__0573_0717838406_645rrs__0290000srlc11372w108cgnj02.csv,2,0,50,0.04,0,0.04
ss__0573_0717839055_770rrs__0290000srlc11372w208cgnj02.csv,0,0,50,0,0,0
ss__0573_0717840536_510rrs__0290000srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0589_0719255082_110rrs__0290000srlc11360w108cgnj02.csv,1,0,50,0.02,0,0.02
ss__0589_0719255731_320rrs__0290000srlc11360w208cgnj02.csv,0,0,50,0,0,0
ss__0589_0719256520_900rrs__0290000srlc11420w108cgnj03.csv,51,16,1296,0.039351852,0.012345679,0.051697531
ss__0589_0719257378_840rrs__0290000srlc11420b108zpzj02.csv,0,0,2,0,0,0
ss__0589_0719258247_340rrs__0290000srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0600_0720234420_740rrs__0300000srlc11360w108cgnj02.csv,1,0,50,0.02,0,0.02
ss__0600_0720235069_850rrs__0300000srlc11360w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0600_0720235860_825rrs__0300000srlc11420w108cgnj03.csv,53,12,1296,0.040895062,0.009259259,0.050154321
ss__0600_0720236690_400rrs__0300000srlc11420b108zpzj02.csv,0,0,2,0,0,0
ss__0600_0720236941_400rrs__0300000srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0608_0720930828_595rrs__0301096srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0614_0721474508_785rrs__0301172srlc11360w108cgnj02.csv,0,0,50,0,0,0
ss__0614_0721475157_600rrs__0301172srlc11360w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0614_0721475935_830rrs__0301172srlc11370w108cgnj02.csv,1,0,50,0.02,0,0.02
ss__0614_0721476584_900rrs__0301172srlc11370w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0614_0721477362_920rrs__0301172srlc11420w108cgnj02.csv,44,6,1296,0.033950617,0.00462963,0.038580247
ss__0614_0721478198_750rrs__0301172srlc11420b108zpzj02.csv,0,0,2,0,0,0
ss__0614_0721478383_380rrs__0301172srlc11372w108cgnj02.csv,0,0,50,0,0,0
ss__0614_0721479032_370rrs__0301172srlc11372w208cgnj02.csv,0,0,50,0,0,0
ss__0614_0721480463_480rrs__0301172srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0617_0721739413_880rrs__0301172srlc11360w108cgnj02.csv,1,0,50,0.02,0,0.02
ss__0617_0721740062_675rrs__0301172srlc11360w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0617_0721740840_705rrs__0301172srlc11370w108cgnj02.csv,2,0,50,0.04,0,0.04
ss__0617_0721741489_930rrs__0301172srlc11370w208cgnj02.csv,1,1,50,0.02,0.02,0.04
ss__0617_0721742267_970rrs__0301172srlc11420w108cgnj02.csv,40,11,1296,0.030864198,0.008487654,0.039351852
ss__0617_0721743109_495rrs__0301172srlc11420b108zpzj02.csv,0,0,2,0,0,0
ss__0617_0721743296_700rrs__0301172srlc11372w108cgnj02.csv,1,0,50,0.02,0,0.02
ss__0617_0721743945_485rrs__0301172srlc11372w208cgnj02.csv,2,0,50,0.04,0,0.04
ss__0617_0721745385_410rrs__0301172srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0618_0721829494_665rrs__0301172srlc11377w108cgnj02.csv,0,0,33,0,0,0
ss__0618_0721830258_340rrs__0301172srlc11377w208cgnj02.csv,0,0,33,0,0,0
ss__0618_0721831021_445rrs__0301172srlc11377w208cgnj02.csv,1,0,34,0.029411765,0,0.029411765
ss__0618_0721831971_630rrs__0301172srlc11372w108cgnj02.csv,0,0,50,0,0,0
ss__0618_0721832620_420rrs__0301172srlc11372w208cgnj02.csv,0,0,50,0,0,0
ss__0618_0721833394_525rrs__0301172srlc11440w108cgnj02.csv,53,15,1296,0.040895062,0.011574074,0.052469136
ss__0618_0721834230_965rrs__0301172srlc11440b108zpzj02.csv,0,0,2,0,0,0
ss__0618_0721835029_445rrs__0301172srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0620_0722007256_725rrs__0301172srlc11379w108cgnj02.csv,1,1,33,0.03030303,0.03030303,0.060606061
ss__0620_0722008020_435rrs__0301172srlc11379w208cgnj02.csv,0,0,33,0,0,0
ss__0620_0722008783_450rrs__0301172srlc11379w208cgnj02.csv,0,0,34,0,0,0
ss__0620_0722009735_420rrs__0301172srlc11378w108cgnj02.csv,1,0,50,0.02,0,0.02
ss__0620_0722010384_475rrs__0301172srlc11378w208cgnj02.csv,0,0,50,0,0,0
ss__0620_0722011162_605rrs__0301172srlc11440w108cgnj02.csv,39,13,1296,0.030092593,0.010030864,0.040123457
ss__0620_0722012015_310rrs__0301172srlc11440b108zpzj02.csv,1,1,2,0.5,0.5,1
ss__0620_0722012826_635rrs__0301172srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0642_0723964610_180rrs__0310500srlc11377w108cgnj02.csv,1,0,33,0.03030303,0,0.03030303
ss__0642_0723965373_050rrs__0310500srlc11377w208cgnj02.csv,1,0,33,0.03030303,0,0.03030303
ss__0642_0723966136_025rrs__0310500srlc11377w208cgnj02.csv,1,1,34,0.029411765,0.029411765,0.058823529
ss__0642_0723967744_835rrs__0310500srlc11372w108cgnj02.csv,0,0,50,0,0,0
ss__0642_0723968393_620rrs__0310500srlc11372w208cgnj02.csv,1,0,50,0.02,0,0.02
